Reference,Value,Datasheet,Footprint,Qty,DNP
"9V_battery1,Finger_Probe1",Conn_01x02_Pin,~,Connector_PinHeader_2.00mm:PinHeader_1x02_P2.00mm_Vertical,2,
C1,100nF,~,Capacitor_THT:C_Disc_D3.4mm_W2.1mm_P2.50mm,1,
C2,0.1uF,~,Capacitor_THT:C_Disc_D3.4mm_W2.1mm_P2.50mm,1,
D1,D,~,Diode_THT:D_A-405_P7.62mm_Horizontal,1,
OLED1,Conn_01x04_Pin,~,oled_128x64:OLED_SSD1306_I2C_0.96,1,
"R1,R2",680 Kohm,~,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,2,
U1,LM358,http://www.ti.com/lit/ds/symlink/lm2904-n.pdf,Package_DIP:DIP-8_W7.62mm,1,
U2,LM7805_TO220,https://www.onsemi.cn/PowerSolutions/document/MC7800-D.PDF,Package_TO_SOT_THT:TO-220-3_Vertical,1,
U3,ATtiny85-20P,http://ww1.microchip.com/downloads/en/DeviceDoc/atmel-2586-avr-8-bit-microcontroller-attiny25-attiny45-attiny85_datasheet.pdf,Package_DIP:DIP-8_W7.62mm,1,
U4,SW_DPDT_XLX,,jewzon:SW_DPDT_XLX,1,
